track_id,song_name,n_artists,main_artist,main_artist_id,main_artist_genres,release_date,explicit,tempo,acousticness,mode,duration_ms,danceability,speechiness,valence,energy,liveness,instrumentalness
7FomypRpFKzSIBOX338U4P,Let Me Down,1,Jaz Karis,4rDcfb3TEWyx0BKdzKG24I,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",2020-07-24,0,183.985,0.0412,1,148696,0.657,0.049,0.478,0.374,0.241,0.176
3bxlVq7OILLAU55cV9r9vv,Arizona Summer,2,Peter Fenn,6gMyLqdBGrHjR8TdCutVIP,"['chill r&b', 'indie r&b', 'la pop']",2020-11-06,0,103.988,0.0143,1,174679,0.719,0.0414,0.846,0.632,0.0708,0.0
6mnnWzRl1C6LABvoUar9tF,Jaguar,1,Victoria Monét,63XBtGSEZINSyXylZxEUbv,"['alternative r&b', 'dance pop', 'indie r&b', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",2020-08-07,0,106.017,0.00902,1,211115,0.723,0.0553,0.364,0.628,0.0812,0.00131
13z7RLPmgupzRwQY9NiTZU,Cherries,2,Hope Tala,74CcYmmNeHKe5PrZaISk8e,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul']",2020-11-13,1,89.951,0.0192,0,183770,0.795,0.0982,0.772,0.693,0.0719,0.00125
0g5muhDlcLIgbCMAORzR0q,Put U On,1,DaniLeigh,0XIKGBo9PnK1ApI5tZA60d,"['pop', 'pop r&b', 'pop rap', 'r&b', 'rap latina']",2020-11-13,1,119.215,0.18,1,184504,0.54,0.163,0.187,0.614,0.108,0.000391
4HqPiUgeE9z0MHLXkgUQkQ,COFFIN (feat. Eminem),2,Jessie Reyez,3KedxarmBCyFBevnqQHy3P,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'pop', 'r&b']",2020-03-27,1,184.013,0.354,1,261773,0.585,0.332,0.138,0.594,0.0921,5.36e-05
4tyxf7iATNclULxE7oAKMN,Cupid's Curse (feat. Kehlani),2,Phora,5XDJlfdfbGNJrOJJNxTcdq,"['deep underground hip hop', 'oc rap', 'pop r&b', 'r&b']",2020-11-06,1,110.874,0.699,1,212801,0.685,0.0635,0.543,0.4,0.148,0.0
1IxfE1rd0ngSFP8MSqYiv0,Mine,2,Alex Isley,7E2ioKxoxI2J94tUkIx6As,"['alternative r&b', 'chill r&b', 'high vibe', 'indie r&b', 'indie soul', 'neo soul', 'r&b']",2020-10-21,0,67.492,0.828,0,212571,0.347,0.0567,0.133,0.395,0.125,1.06e-05
1NjQZi2ajwmJsfnimLr41I,More Than Enough,1,Alina Baraz,6hfwwpXqZPRC9CsKI7qtv1,"['etherpop', 'pop', 'r&b']",2020-03-26,0,143.008,0.26,0,151462,0.648,0.0345,0.253,0.531,0.12,0.000897
2qzUpSVI4NnPyWxbXwumTj,BLACK PARADE,1,Beyoncé,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'r&b']",2020-06-19,1,120.002,0.00337,1,281273,0.824,0.05,0.0611,0.555,0.217,6.42e-06
6zAFHVV4PKSiMNvw80D8qZ,Alone,3,Nieman J,1sXjt6XF2hUgabKoaksNu3,['pop r&b'],2020-04-24,1,97.988,0.0833,1,127347,0.706,0.226,0.517,0.552,0.343,0.0
44MHQm2WIvsAXg14WKpCQp,Made to Fall in Love,1,Daniel Caesar,20wkVLutqVOYrc0kxFs7rA,"['canadian contemporary r&b', 'pop', 'r&b']",2020-05-13,0,144.002,0.111,1,293709,0.843,0.0474,0.539,0.478,0.09,0.216
2P4qoMmSqElFcI7GYaPLwf,My Mind Is a Maze,1,Alann8h,1PG2FugIT1iF2CWnzjw0We,"['canadian contemporary r&b', 'chill pop', 'indie r&b']",2020-05-14,0,95.008,0.671,1,146678,0.85,0.0705,0.468,0.223,0.0914,3.23e-05
4T7SBsJhGHbdQAn0AXCBN3,Gangsta Wit It,1,3Breezy,4cSobXLXhJMHYUZvBMuQFG,['pop r&b'],2020-11-15,1,149.999,0.0856,0,141410,0.813,0.194,0.298,0.556,0.0866,0.0
1bRjwdtScY2eMe9uMmsOkG,Do It,1,Chloe x Halle,0AsThoR4KZSVktALiNcQwW,"['alternative r&b', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",2020-05-14,0,82.978,0.0916,0,176787,0.701,0.0516,0.553,0.668,0.111,2.09e-06
5F8zXCNHA4Xzoqi3NR9kUK,Lotto,1,TiaCorine,39i5B6umzWzkfMe12JrMwW,"['alternative r&b', 'escape room', 'trap queen']",2020-09-04,1,89.998,0.000206,1,147920,0.857,0.136,0.319,0.626,0.142,2.04e-06
5i8KK3DESGu4QCphYmv8bw,Destiny’s Song,1,Phora,5XDJlfdfbGNJrOJJNxTcdq,"['deep underground hip hop', 'oc rap', 'pop r&b', 'r&b']",2020-11-06,1,113.075,0.787,0,161332,0.61,0.522,0.38,0.399,0.393,3.31e-06
6FXsrAH7Zol1jusSeJIoYA,"Body Language (feat. Ty Dolla $ign, and Jhené Aiko)",3,Big Sean,0c173mlxpT3dSFRgMO8XPh,"['detroit hip hop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",2020-09-04,1,80.024,0.00607,0,224770,0.711,0.122,0.53,0.838,0.0898,0.0
24Sqz5FNuD6D5Utxeg4DmK,more,1,keshi,3pc0bOVB5whxmD50W79wwO,"['chill r&b', 'pop']",2020-10-23,1,79.973,0.568,1,184011,0.565,0.0357,0.401,0.707,0.374,0.0
6CE7WQ73Yj1htzYgLX4aWZ,Addicted,1,KB Mike,6dGMlf9UbIdCyLvUiAS4yY,['pop r&b'],2020-05-24,1,81.22,0.0821,1,131762,0.6,0.605,0.555,0.446,0.107,0.0
2mUzPLPUkEjClJ9Rb6H2rD,Stay (Don't Go),1,Kid Travis,6UWui6Csqc1ywqnDzjOWnk,"['chill r&b', 'pop']",2020-12-04,1,94.993,0.0346,0,207161,0.458,0.0599,0.31,0.239,0.0815,0.0
23xteU6IlMeNxJ2sYcjHlR,BIA BIA (feat. Lil Jon),2,BIA,6veh5zbFpm31XsPdjBgPER,"['pop', 'pop rap', 'r&b', 'rap latina', 'trap queen']",2020-12-11,1,160.008,0.00198,1,125440,0.735,0.0914,0.425,0.791,0.233,0.0
3JP7KdSVvcX3mTfitBp2Ec,Love Cycle (with Summer Walker),2,Toosii,6BH1xcDkwbbyrLMUKECsW1,"['north carolina hip hop', 'pop r&b']",2020-09-18,1,126.955,0.0533,0,215406,0.774,0.239,0.429,0.451,0.078,0.0
6t51aLe7rjZhKgONwt6btQ,Back Home (feat. Summer Walker),2,Trey Songz,2iojnBLj0qIMiKPvVhLnsH,"['dance pop', 'hip pop', 'pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",2020-10-09,1,86.036,0.0227,1,194576,0.619,0.157,0.351,0.719,0.0839,0.0
0qXu4pFQSIwkfTUgkE6WzF,Like I Want You - Acoustic,1,Giveon,4fxd5Ee7UefO4CUXgwJ7IP,"['pop', 'r&b']",2020-08-28,0,117.762,0.798,0,185224,0.463,0.0309,0.256,0.381,0.109,0.00139
7z6VTwkfEhX25WWy1xC75O,Exit,1,Sebastian Mikael,4hknFHNFp3UMm2Rbc6Ansf,"['alternative r&b', 'indie r&b']",2020-08-28,0,158.281,0.545,0,196673,0.479,0.0596,0.48,0.362,0.524,0.000201
4JEGeqPF0RH7oi1lHdtbK6,slow summer,1,Zachary Knowles,5BxcZnUcETSt90VlbsdugI,"['alt z', 'bedroom soul', 'chill pop', 'chill r&b', 'electropop', 'pop']",2020-08-14,0,90.003,0.817,1,168782,0.658,0.0437,0.464,0.431,0.21,8.28e-06
5AG3LHmg3FyVbRESspoPAD,Save Your Tears,1,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']",2020-03-20,0,118.051,0.0212,1,215627,0.68,0.0309,0.644,0.826,0.543,1.24e-05
1E8Cztx0OIj4zm1IZh2XXj,Like A Fool,2,NIve,1qOPo6b0U3t7BpyO8Ti1MF,"['k-pop', 'korean r&b']",2020-04-02,0,176.92,0.55,1,214427,0.496,0.287,0.5,0.491,0.123,0.0
05PFB9zqsoUv0vFpgGtyWq,Used To,1,SAYGRACE,6y5amJcTjeDgLXIjtQLMst,"['dance pop', 'pop', 'r&b']",2020-09-25,0,171.942,0.212,1,172712,0.711,0.191,0.359,0.695,0.208,0.00046
6TrdeNEgbKuBqIToRfdWMY,Everybody Business,1,Kehlani,0cGUm45nv7Z6M6qdXYQGTX,"['dance pop', 'pop', 'pop rap', 'r&b']",2020-05-08,1,45.78,0.521,1,165009,0.43,0.229,0.435,0.703,0.132,0.0
20d27F17AZOxTJOEHAVK2Y,Conversations in the Dark - John Legend vs. David Guetta,2,John Legend,5y2Xq6xcjJb2jVM54GHK3t,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",2020-02-14,0,127.19,0.245,0,210236,0.572,0.0347,0.376,0.742,0.108,0.0
1tNK6PDCrJLEa2AQBCEfjP,More Than Enough,1,Alina Baraz,6hfwwpXqZPRC9CsKI7qtv1,"['etherpop', 'pop', 'r&b']",2020-04-24,0,143.008,0.26,0,151462,0.648,0.0345,0.253,0.531,0.12,0.000897
38uNCW1do0LKfMIt4MDkPo,Missed You - Bonus Track,1,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']",2020-04-03,1,151.98,0.115,0,144540,0.689,0.0851,0.321,0.374,0.111,0.000132
3UZ46DvXvB2R7sBUZornlv,Running Through The Night,1,Seori,2bWTIIQP9zaVc55RaMGu7e,"['k-pop', 'korean r&b']",2020-05-12,0,92.039,0.455,1,217533,0.644,0.0562,0.64,0.532,0.266,0.0
5dXWFMwD7I7zXsInONVl0H,I Hate U,1,SZA,7tYKF4w9nC0nq9CsPZTHyP,"['pop', 'r&b', 'rap']",2021-12-03,1,106.703,0.507,0,174000,0.535,0.155,0.412,0.388,0.11,0.0
37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (with Ariana Grande) (Remix),2,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'pop']",2021-04-23,0,118.091,0.0215,1,191014,0.65,0.0325,0.593,0.825,0.0936,2.44e-05
3M5azWqeZbfoVkGXygatlb,Hrs & Hrs,1,Muni Long,7tjVFCxJdwT4NdrTmjyjQ6,"['indie r&b', 'pop', 'pop r&b', 'pop rap', 'r&b']",2021-11-19,1,133.953,0.607,1,204317,0.523,0.159,0.661,0.521,0.107,0.0
08SB2OtZkaliju77WYEKxk,No Love (with SZA),2,Summer Walker,57LYzLEk2LcFghVwuWbcuS,"['pop', 'r&b']",2021-11-05,1,133.876,0.17,0,231498,0.707,0.19,0.517,0.618,0.293,0.0
09gysnJpfQ3ublBmJDfcEC,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),3,Amaarae,21UPYSRWFKwtqvSAnFnSvS,"['afro r&b', 'alternative r&b', 'ghanaian alternative', 'ghanaian pop']",2021-09-16,1,110.02,0.433,0,204764,0.87,0.0602,0.319,0.523,0.113,2.07e-05
6u3CPnFMKANYgfdiifFOiJ,"Gravity (feat. Tyler, The Creator)",3,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,"['dmv rap', 'r&b']",2021-01-29,1,163.924,0.173,0,214693,0.539,0.252,0.493,0.615,0.144,0.0056
61Emqg95O9zo1GNOcyxq4Y,For Tonight,1,Giveon,4fxd5Ee7UefO4CUXgwJ7IP,"['pop', 'r&b']",2021-09-24,0,79.867,0.0699,1,193822,0.442,0.0548,0.2,0.517,0.114,0.0
1a1LrfgkTvfHFykIxcv8WU,Cherry Wine,1,grentperez,73BLwSX6gsNeVzS7DgI4xe,['chill r&b'],2021-09-10,0,105.008,0.345,0,173286,0.761,0.0411,0.583,0.565,0.0825,0.0
